fromNode,toNode,weight
NDUFAF7,NDUFB9,0.499
USP28,UBC,0.965
USP28,FBXW7,0.9
USP28,TP53BP1,0.986
USP28,TP53,0.475
USP28,UBB,0.914
USP28,CHEK2,0.607
PDK4,CNOT3,0.42
PDK4,UHMK1,0.449
PDK4,PDK1,0.585
PDK4,CNOT10,0.42
NDUFAF7,NDUFS7,0.566
RALA,EXOC2,0.999
RALA,RRAS2,0.41
RALA,RASA1,0.969
RALA,EXOC8,0.999
USP28,USP8,0.455
USP28,RPS27A,0.913
NDUFAF7,NDUFAF4,0.499
USP28,UBA52,0.931
RALA,EXOC5,0.531
RALA,EXOC6,0.531
NDUFAF7,NDUFA3,0.499
RPAP3,PSMG1,0.54
RPAP3,ASB7,0.585
RPAP3,POLR3K,0.589
RPAP3,HSP90AB1,0.976
RPAP3,BAG3,0.54
RPAP3,TSC1,0.643
RPAP3,PRPF8,0.475
NDUFAF7,NDUFB2,0.499
RPAP3,GPN3,0.476
CRY1,TIMELESS,0.963
RPAP3,POLR2L,0.614
RPAP3,EFTUD2,0.486
RPAP3,POLR2H,0.415
RPAP3,POLR2E,0.925
RPAP3,POLR1A,0.642
RPAP3,WDR92,0.964
RPAP3,DNAAF2,0.54
RPAP3,POLR2F,0.607
RPAP3,RPRD1B,0.45
RPAP3,POLR3A,0.695
RPAP3,HSP90AA1,0.957
RPAP3,POLR1C,0.649
RPAP3,RUVBL1,0.999
RPAP3,HSPA4,0.539
RPAP3,POLR2J,0.536
RPAP3,POLR3D,0.648
RPAP3,DNAJC9,0.54
RPAP3,PDRG1,0.926
CRY1,ARNTL,0.975
PRSS21,BST1,0.42
CRY1,PER2,0.999
CRY1,HDAC1,0.408
CRY1,CSNK2B,0.526
CRY1,PPP2R1B,0.412
CRY1,NR3C1,0.847
CRY1,BTRC,0.558
RANBP9,IFNAR2,0.405
RANBP9,GID4,0.843
RANBP9,TP53,0.465
RANBP9,EXOC2,0.457
RANBP9,HGF,0.4
RANBP9,MKLN1,0.959
RANBP9,SNRPF,0.42
